ds,yhat,yhat_lower,yhat_upper
2018-01-02,124.22298165939425,108.0019626317548,139.35492807594434
2018-01-06,123.9347726538327,108.34705099661657,140.7772530629368
2018-01-10,124.75467034677561,110.01224845354878,139.62569771030445
2018-01-12,122.85326812246997,108.2509100314235,139.01170381182035
2018-01-16,124.19717184018921,108.3526241000019,139.150228873793
2018-01-20,123.90896283462799,108.44713646287039,138.72964471773793
2018-01-21,124.95965456903474,109.24701609768367,139.1223716642758
2018-01-22,122.433078843106,107.77921717210165,138.35013222888242
2018-01-23,124.18426693058662,109.28642289531692,139.55187467075282
2018-01-24,124.72886052757173,108.83798291789135,140.9149227322131
2018-01-25,124.14077089016908,110.16827812570675,139.90956960860288
2018-01-28,124.94674965943332,109.6694852408601,139.36250681013968
2018-01-30,124.17136202098663,108.79320580793578,141.07330241125354
2018-01-31,124.7159556179743,109.95433425622653,139.9088141273591
2018-02-02,122.8145533953682,106.41779706538074,137.79894198648608
2018-02-03,123.88315301797327,107.50101898421208,139.2108575679242
2018-02-05,122.40726902814268,106.85317645954554,138.88175886823242
2018-02-06,124.15845711647351,109.07364330862676,139.2258586611748
2018-02-08,124.11496107774293,108.38418505898225,138.70491066428954
2018-02-09,122.80164849169672,108.28133032310387,139.14501531823993
2018-02-10,123.87024811430578,107.15341520047151,138.8287343029578
2018-02-12,122.39436412447523,107.77449010628942,137.97120215349094
2018-02-13,124.14555221280557,108.28309787501328,139.47699826794022
2018-02-16,122.78874358803007,106.6896664457265,138.84499615664703
2018-02-19,122.38145922080841,106.91148105145807,137.88479104686436
2018-02-20,124.1326473091362,107.13899257204254,138.6182912364421
2018-02-25,124.89513004221786,108.91852974549269,140.87117840230638
2018-02-27,124.11974242568759,108.89735664786508,139.0488648890084
2018-03-01,124.07624640718063,109.02724428203113,139.64710350221876
2018-03-02,122.76293383124131,107.54780296655514,137.87653054443584
2018-03-03,123.83153346395795,109.38106821230708,139.84638943997012
2018-03-04,124.88222520931302,110.07545315765337,140.08052145218306
2018-03-05,122.35564949434412,106.14500993350717,137.48130324785942
2018-03-06,124.10683759278417,108.43918602608952,139.79869897467347
2018-03-08,124.06334157427405,108.9959939232106,139.91049675348538
2018-03-09,122.75002899833385,106.98728236953082,137.59532447099787
2018-03-10,123.8186286310538,107.57348786087047,140.25523525391594
2018-03-11,124.86932037641054,109.19802748789061,140.1964683592253
